"CODE","zh_CN"
"NAME","简体中文"
"AVO_DESC","自定义你的车辆（支持 Cities: Skylines 1.21.1-f9）"
"TRN_CHOICE","选择语言"
"TRN_TOOLTIP","选择用于此模组的语言。将需要
重启游戏。(默认：使用游戏语言)"
"TRN_SYS","使用游戏语言"
"KEY_KEY","快捷键"
"KEY_KEY_TT","为AVO模组设置快捷键"
"KEY_PRS","按任意键"
"AVO_OPT_GEN","常规设置"
"AVO_OPT_GEN_ASAVE","自动保存车辆参数"
"AVO_OPT_GEN_ASAVE_TT","若启用，任何对车辆参数的改动会被立刻保存（默认：启用）"
"AVO_OPT_GEN_DEBUG","启用调试信息日志记录"
"AVO_OPT_GEN_DEBUG_TT","若启用，模组的调试信息会被写入日志（默认：启用）"
"AVO_OPT_GEN_GUI","隐藏游戏内工具栏按钮"
"AVO_OPT_GEN_GUI_TT","从主菜单上隐藏工具按钮。AVO面板可以通过快捷键呼出（默认：禁用 - 显示工具按钮）"
"AVO_OPT_GEN_SERVICE","启用加载地图时无可用服务警告"
"AVO_OPT_GEN_SERVICE_TT","在加载时显示城市服务无任何车辆的警告（默认：启用）"
"AVO_OPT_BAL","游戏与平衡"
"AVO_OPT_BAL_UNITS","显示英里表（Mph）而非公里表（Km/H）"
"AVO_OPT_BAL_UNITS_TT","速度显示由公里表改为英里表（默认：禁用 - 使用公里表）"
"AVO_OPT_BAL_EXT","启用非客运与非货运车辆多样化参数设置"
"AVO_OPT_BAL_EXT_TT","允许更改消防车的灭火速率和载水量、警车的犯罪处理容量，以及维护车辆的维护速率和抽水速率。（默认：禁用）
可能会破坏游戏原有的平衡性。具体数值未作说明。"
"AVO_OPT_COMP","兼容性"
"AVO_OPT_COMP_MODS","显示模组兼容问题警告"
"AVO_OPT_COMP_MODS_TT","若启用，任何可能被 IPT（BloodyPenguin）和 TLM（Klyte45）模组更改的参数用红色标出。这些数值仅应该用以上模组修改。若禁用，不会标记任何数值（默认：启用）"
"AVO_OPT_COMP_VCX","ACE（Asset Color Expander，Klyte45）模组优先于AVO修改车辆颜色"
"AVO_OPT_COMP_VCX_TT","永久设置，仅在ACE启用时有效。车辆颜色受ACE控制（默认：永久启用）"
"AVO_OPT_COMP_NBT","NBC（No Big Trucks，MacSergey）标记通用工业车辆为大型车辆"
"AVO_OPT_COMP_NBT_TT","若启用，送货卡车会标记为大型车辆，NBC模组会限制车辆使用（默认：启用）"
"AVO_OPT_COMP_TRL","挂车兼容性参照表更新日期："
